release_date,required_age,price,windows,mac,linux,achievements,recommendations,developers,publishers,categories,genres,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,absolute_score,success_class
2024-02-22,0,29.99,True,False,False,32,215190,['Endnight Games Ltd'],['Newnight'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing']",Action Adventure Indie Simulation,0,0,0,0,182141,alto_successo
2020-10-22,17,49.99,True,False,False,21,212462,['DICE'],['Electronic Arts'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'HDR available']",Action,1774,117,475,109,101646,alto_successo
2017-12-29,0,0.0,True,False,False,51,0,['Northwood Studios'],['Northwood Studios'],"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",Action FreeToPlay,1073,121,85,121,174069,alto_successo
2017-10-06,0,0.0,True,True,False,0,412,['Team Salvato'],['Team Salvato'],"['Single-player', 'Remote Play on Phone', 'Remote Play on Tablet']",Casual FreeToPlay Indie,0,0,0,0,193880,alto_successo
2020-08-11,0,24.99,True,False,False,121,207393,['Hopoo Games'],['Gearbox Publishing'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']",Action Indie,3145,229,1041,78,266352,alto_successo
2018-02-28,0,0.0,True,False,False,0,144242,['Daybreak Game Company'],['Daybreak Game Company'],"['Multi-player', 'PvP', 'Online PvP', 'In-App Purchases']",Action Adventure FreeToPlay MassivelyMultiplayer,3085,0,108,0,23388,alto_successo
2022-10-25,0,49.99,True,False,False,50,202105,['TaleWorlds Entertainment'],['TaleWorlds Entertainment'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Action Indie RPG Simulation Strategy,0,0,0,0,196903,alto_successo
2015-03-10,0,29.99,True,True,True,127,201929,['Colossal Order Ltd.'],['Paradox Interactive'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet', 'Family Sharing']",Simulation Strategy,4406,511,666,1017,232639,alto_successo
2022-02-11,17,0.0,True,False,False,156,65064,['Smilegate RPG'],['Amazon Games'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support']",Action Adventure MassivelyMultiplayer RPG FreeToPlay,6874,964,858,1901,85197,alto_successo
2021-11-08,0,29.99,True,False,False,147,197363,['Playground Games'],['Xbox Game Studios'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing']",Action Adventure Racing Simulation Sports,0,0,0,0,165815,alto_successo
2023-05-26,0,19.99,True,False,False,169,191485,['鬼谷工作室'],"['鬼谷工作室', 'Lightning Games']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Action Adventure Indie RPG Simulation,4033,565,2238,819,14173,alto_successo
2019-08-27,17,29.99,True,False,False,36,189678,['Crytek'],['Crytek'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV']",Action,5505,11,885,11,112767,alto_successo
2024-09-10,0,39.99,True,False,False,44,189253,['Coffee Stain Studios'],['Coffee Stain Publishing'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Adventure Indie Simulation Strategy,4676,466,1679,373,210839,alto_successo
2016-10-27,17,39.99,True,False,False,75,183084,['Bethesda Game Studios'],['Bethesda Softworks'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing']",RPG,6466,779,1402,760,274344,alto_successo
2023-12-13,0,49.99,True,False,False,33,176271,['VOID Interactive'],['VOID Interactive'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Action Adventure Indie,1163,367,600,223,174645,alto_successo
2021-11-15,0,0.0,True,False,False,144,32294,['343 Industries'],['Xbox Game Studios'],"['Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Includes level editor', 'Remote Play on TV']",Action FreeToPlay,0,0,0,0,69860,alto_successo
2021-03-25,0,39.99,True,False,False,20,173160,['Hazelight Studios'],['Electronic Arts'],"['Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']",Action Adventure,1007,335,839,137,186479,alto_successo
2018-10-17,0,34.99,True,True,True,0,173803,['Ludeon Studios'],['Ludeon Studios'],"['Single-player', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet', 'Family Sharing']",Indie Simulation Strategy,0,0,0,0,196928,alto_successo
2020-03-19,17,39.99,True,False,False,50,174399,['id Software'],['Bethesda Softworks'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'HDR available', 'Family Sharing']",Action,0,0,0,0,165547,alto_successo
